"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763514455","33.7028079402309","5411","102","1","7700","410045610046000","65","1000","2011-01-01","2015-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Praha"
"763514456","16.9762231919093","5411","102","1","7700","410065610066000","65","1000","2011-01-01","2015-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Praha"
"763514457","82.2186537721761","5411","102","2","7700","400000600001000","65","1000","2011-01-01","2015-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Praha"
"763514454","77.397601192679","5411","102","1","7700","400000600001000","65","1000","2011-01-01","2015-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Praha"
"763514459","19.8795076612444","5411","102","2","7700","410065610066000","65","1000","2011-01-01","2015-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Praha"
"763514458","37.9291689546984","5411","102","2","7700","410045610046000","65","1000","2011-01-01","2015-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Praha"
"763514464","37.1798026104776","5411","102","2","7700","410045610046000","65","2101","2011-01-01","2015-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Benešov"
"763514461","32.3738789166399","5411","102","1","7700","410045610046000","65","2101","2011-01-01","2015-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Benešov"
"763514460","75.6940410918172","5411","102","1","7700","400000600001000","65","2101","2011-01-01","2015-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Benešov"
"763514462","15.7587723936814","5411","102","1","7700","410065610066000","65","2101","2011-01-01","2015-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Benešov"
"763514463","81.2382225181786","5411","102","2","7700","400000600001000","65","2101","2011-01-01","2015-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Benešov"
"763514465","19.0315992921277","5411","102","2","7700","410065610066000","65","2101","2011-01-01","2015-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Benešov"
"763514467","31.4362869795226","5411","102","1","7700","410045610046000","65","2102","2011-01-01","2015-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Beroun"
"763514470","37.6970014317128","5411","102","2","7700","410045610046000","65","2102","2011-01-01","2015-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Beroun"
"763514468","14.9500249245656","5411","102","1","7700","410065610066000","65","2102","2011-01-01","2015-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Beroun"
"763514469","81.9768351887604","5411","102","2","7700","400000600001000","65","2102","2011-01-01","2015-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Beroun"
"763514466","74.7628449928413","5411","102","1","7700","400000600001000","65","2102","2011-01-01","2015-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Beroun"
"763514471","19.6070472100754","5411","102","2","7700","410065610066000","65","2102","2011-01-01","2015-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Beroun"
"763514475","80.8807554370054","5411","102","2","7700","400000600001000","65","2103","2011-01-01","2015-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Brandýs nad Labem-Stará Boleslav"
"763514476","36.6768109689083","5411","102","2","7700","410045610046000","65","2103","2011-01-01","2015-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Brandýs nad Labem-Stará Boleslav"
"763514472","75.8362608310641","5411","102","1","7700","400000600001000","65","2103","2011-01-01","2015-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Brandýs nad Labem-Stará Boleslav"
