"idhod","hodnota","duvernost","stapro_kod","stapro_txt","kat_cis","kat_kod","uzemiz_cis","uzemiz_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt"
"761368671","14350","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4203","Chomutov"
"760694778","14219","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4204","Kadaň"
"760694779","9904","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4205","Litoměřice"
"761241757","2596","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4206","Litvínov"
"760702491","3661","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4207","Louny"
"760708893","2066","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4208","Lovosice"
"761368672","9812","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4209","Most"
"761218670","1874","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4210","Podbořany"
"760873611","2693","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4211","Roudnice nad Labem"
"760975779","3974","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4212","Rumburk"
"760716934","25891","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4213","Teplice"
"760665144","23592","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4214","Ústí nad Labem"
"760996949","3003","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4215","Varnsdorf"
"760687106","3179","verejny","2654","Počet turistů","154","1","5898","17","2012","65","4216","Žatec"
"760993999","14901","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5101","Česká Lípa"
"760871200","2821","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5102","Frýdlant"
"760716935","11928","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5103","Jablonec nad Nisou"
"760672575","18574","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5104","Jilemnice"
"761239735","50778","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5105","Liberec"
"760881084","2760","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5106","Nový Bor"
"761100650","1416","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5107","Semily"
"761366226","54919","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5108","Tanvald"
"761363585","12088","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5109","Turnov"
"760708894","242","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5110","Železný Brod"
"760665145","3900","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5201","Broumov"
"761368673","4995","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5202","Dobruška"
"761093743","3082","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5203","Dvůr Králové nad Labem"
"760716973","758","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5204","Hořice"
"761370917","35378","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5205","Hradec Králové"
"760883255","187","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5206","Jaroměř"
"761121660","13864","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5207","Jičín"
"760995935","963","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5208","Kostelec nad Orlicí"
"760665146","11080","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5209","Náchod"
"760885921","1294","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5210","Nová Paka"
"760716871","211","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5211","Nové Město nad Metují"
"760976791","388","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5212","Nový Bydžov"
"761115692","7344","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5213","Rychnov nad Kněžnou"
"760974809","50284","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5214","Trutnov"
"760672576","96054","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5215","Vrchlabí"
"760716936","817","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5301","Česká Třebová"
"760687609","707","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5302","Hlinsko"
"760868553","549","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5303","Holice"
"760876038","5385","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5304","Chrudim"
"760694780","3918","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5305","Králíky"
"760994984","1179","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5306","Lanškroun"
"761100651","5125","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5307","Litomyšl"
"760687107","1468","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5308","Moravská Třebová"
"760871202","17650","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5309","Pardubice"
"760672634","1179","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5310","Polička"
"761363554","2229","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5311","Přelouč"
"761114673","2001","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5312","Svitavy"
"760994985","2786","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5313","Ústí nad Orlicí"
"761365987","2265","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5314","Vysoké Mýto"
"760976772","4080","verejny","2654","Počet turistů","154","1","5898","17","2012","65","5315","Žamberk"
"760885977","1646","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6101","Bystřice nad Pernštejnem"
"760701854","5282","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6102","Havlíčkův Brod"
"760873651","3144","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6103","Humpolec"
"760873606","2066","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6104","Chotěboř"
"760996958","16143","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6105","Jihlava"
"760979764","910","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6106","Moravské Budějovice"
"760974816","515","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6107","Náměšť nad Oslavou"
"760871223","4829","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6108","Nové Město na Moravě"
"761237666","272","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6109","Pacov"
"760885978","9058","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6110","Pelhřimov"
"761240691","631","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6111","Světlá nad Sázavou"
"761009095","7812","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6112","Telč"
"760972874","6609","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6113","Třebíč"
"760679893","3494","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6114","Velké Meziříčí"
"760701855","4679","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6115","Žďár nad Sázavou"
"761121674","15209","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6201","Blansko"
"760694892","6313","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6202","Boskovice"
"760679894","227084","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6203","Brno"
"761096713","25169","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6204","Břeclav"
"761239709","672","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6205","Bučovice"
"761093747","31435","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6206","Hodonín"
"760717014","8497","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6207","Hustopeče"
"761237667","500","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6208","Ivančice"
"760886008","4867","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6209","Kuřim"
"760672189","3096","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6210","Kyjov"
"760876074","42880","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6211","Mikulov"
"761361142","1207","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6212","Moravský Krumlov"
"760876075","9824","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6213","Pohořelice"
"760717126","6572","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6214","Rosice"
"760687246","2062","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6215","Slavkov u Brna"
"760978792","6355","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6216","Šlapanice"
"760672566","2488","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6217","Tišnov"
"761095666","5739","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6218","Veselí nad Moravou"
"761363644","8123","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6219","Vyškov"
"760995889","42726","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6220","Znojmo"
"761361091","1410","verejny","2654","Počet turistů","154","1","5898","17","2012","65","6221","Židlochovice"
"760672190","5810","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7101","Hranice"
"760878589","8382","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7102","Jeseník"
"760975833","292","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7103","Konice"
"760694942","917","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7104","Lipník nad Bečvou"
"760679199","1125","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7105","Litovel"
"760679811","1947","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7106","Mohelnice"
"761010933","56143","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7107","Olomouc"
"760871069","7521","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7108","Prostějov"
"761236633","8404","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7109","Přerov"
"760997983","1895","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7110","Šternberk"
"760709996","9318","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7111","Šumperk"
"761370893","560","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7112","Uničov"
"760679357","922","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7113","Zábřeh"
